name,height,european,weight,from,position
Al Jefferson,2.08,FALSE,289,Prentiss HS (MS),F/C
Frank Kaminsky,2.13,FALSE,240,Wisconsin,F/C
Michael Kidd-Gilchrist,2.01,FALSE,232,Kentucky,F
Jeremy Lamb,1.96,FALSE,185,Connecticut,G
Jeremy Lin,1.91,FALSE,200,Harvard,G
Brian Roberts,1.85,FALSE,173,Dayton,G
Kemba Walker,1.85,FALSE,184,Connecticut,G
Marvin Williams,2.06,FALSE,237,North Carolina,F
Cody Zeller,2.13,FALSE,240,Indiana,F/C
Chris Andersen,2.08,FALSE,245,Blinn College,C
Chris Bosh,2.11,FALSE,235,Georgia Tech,F/C
Luol Deng,2.06,FALSE,220,Duke,F
Goran Dragi��,1.91,TRUE,190,Slovenia,G
Gerald Green,2.03,FALSE,205,Gulf Shores Academy (TX),G
Udonis Haslem,2.03,FALSE,235,Florida,F
Tyler Johnson,1.93,FALSE,186,Fresno State,G
Josh McRoberts,2.08,FALSE,240,Duke,F
Josh Richardson,1.98,FALSE,200,Tennessee,G
Jarnell Stokes,2.06,FALSE,263,Tennessee,F/C
Amar'e Stoudemire,2.08,FALSE,245,Cypress Creek HS (FL),F/C
Beno Udrih,1.91,TRUE,205,Slovenia,G
Dwyane Wade,1.93,FALSE,220,Marquette,G
Hassan Whiteside,2.13,FALSE,265,Marshall,C
Justise Winslow,2.01,FALSE,225,Duke,G/F
Dewayne Dedmon,2.13,FALSE,245,Southern California,C
Evan Fournier,2.01,TRUE,205,France,G
Channing Frye,2.11,FALSE,255,Arizona,F/C
Aaron Gordon,2.06,FALSE,220,Arizona,F
Tobias Harris,2.06,FALSE,235,Tennessee,F
Mario Hezonja,2.03,TRUE,218,Croatia,G/F
Roy Devyn Marble,1.98,FALSE,200,Iowa,G/F
Shabazz Napier,1.85,FALSE,175,Connecticut,G
Andrew Nicholson,2.06,FALSE,250,St. Bonaventure,F
Victor Oladipo,1.93,FALSE,210,Indiana,G
Elfrid Payton,1.93,FALSE,185,Louisiana-Lafayette,G
Jason Smith,2.13,FALSE,240,Colorado State,F/C
Nikola Vucevic,2.13,TRUE,260,Southern California,C
C. J. Watson,1.88,FALSE,175,Tennessee,G
Alan Anderson,1.98,FALSE,220,Michigan State,G/F
Bradley Beal,1.96,FALSE,207,Florida,G
DeJuan Blair,2.01,FALSE,270,Pittsburgh,C
Jared Dudley,2.01,FALSE,225,Boston College,G/F
Drew Gooden,2.08,FALSE,250,Kansas,F/C
Marcin Gortat,2.11,TRUE,240,Poland,C
Kris Humphries,2.06,FALSE,235,Minnesota,F
Gary Neal,1.93,FALSE,210,Towson,G
Nen��,2.11,FALSE,250,Brazil,F/C
Kelly Oubre Jr.,2.01,FALSE,205,Kansas,G/F
Otto Porter,2.03,FALSE,198,Georgetown,F
Ramon Sessions,1.91,FALSE,190,Nevada,G
Garrett Temple,1.98,FALSE,195,LSU,G
John Wall,1.93,FALSE,195,Kentucky,G
Martell Webster,2.01,FALSE,230,Seattle Preparatory (WA),G/F
Justin Anderson,1.98,FALSE,228,Virginia,G/F
Jos�� Juan Barea,1.83,FALSE,185,Northeastern,G
Jeremy Evans,2.06,FALSE,200,Western Kentucky,F
Raymond Felton,1.85,FALSE,205,North Carolina,G
Devin Harris,1.91,FALSE,185,Wisconsin,G
John Jenkins,1.93,FALSE,215,Vanderbilt,G
Wesley Matthews,1.96,FALSE,220,Marquette,G
JaVale McGee,2.13,FALSE,270,Nevada,C
Salah Mejri,2.18,FALSE,245,Tunisia,C
Dirk Nowitzki,2.13,TRUE,245,Germany,F
Zaza Pachulia,2.11,TRUE,275,Georgia,F/C
Chandler Parsons,2.08,FALSE,230,Florida,F
Dwight Powell,2.11,FALSE,240,Stanford,F
Charlie Villanueva,2.11,FALSE,232,Connecticut,F
